Discovered_Channel_ID,Discovered_Channel_Name,Discovered_Channel_URL,Discovered_Subs,Final_Tier,Final_Status,score_similarity,score_format_match,score_format_confidence,score_format_reason,Tie_Breaker_Used,Tie_Breaker_Reason
UCXl4i9dYBrFOabk0xGmbkRA,Dwarkesh Patel,https://www.youtube.com/@dwarkeshpatel,1070000,1,Tier 1 (Direct Competitor),0.86193885680593,True,1.0,"All three videos feature dialogue markers such as 'Welcome back', 'Thank you for doing this', and 'Hey everybody, I hope you enjoyed that episode', indicating a conversational format typical of podcasts. Each video includes a clear conversation between hosts and guests, and they all sign off in a manner consistent with podcast episodes.",False,N/A
UCGeqHuR3eUU5tnmgjkqZazw,CXOTalk,https://www.youtube.com/@cxotalk,206000,1,Tier 1 (Direct Competitor),0.8327713679290891,True,0.95,"All three videos feature a conversational format with clear dialogue markers, such as 'Welcome back', 'Guest', and 'Episode'. Each video includes a host and a guest discussing topics related to AI, indicating a podcast structure. The sign-off at the end of each video reinforces this format, as they thank the guests and encourage viewers to subscribe, typical of podcast episodes.",False,N/A
UCSHZKyawb77ixDdsGog4iWA,Lex Fridman,https://www.youtube.com/@lexfridman,4870000,1,Tier 1 (Direct Competitor),0.8323774367211938,True,1.0,"All three videos strictly follow the podcast format. They feature dialogues with guests, use phrases like 'Thank you for listening to this conversation with...' at the end, and include conversational elements throughout. Each video begins with a clear introduction of the guest and ends with a sign-off typical of podcasts, confirming they are indeed podcast content.",False,N/A
UCCKNk9Sb3H5ueNK_X9V-3yA,John Hope Bryant,https://www.youtube.com/@johnhopebryant,174000,1,Tier 1 (Direct Competitor),0.8304181711031575,True,0.95,"All three videos contain clear dialogue markers, such as 'Hey, hey' and 'Welcome back', indicating a conversational format. Video 1 features a discussion between John O'Brien and Toby Luki, while Video 2 and Video 3 explicitly mention being part of a podcast series. Each video ends with a sign-off typical of podcasts, reinforcing the format.",False,N/A
UCugS0jD5IAdoqzjaNYzns7w,The Logan Bartlett Show,https://www.youtube.com/@theloganbartlettshow,47800,1,Tier 1 (Direct Competitor),0.828165021063513,True,0.95,"All three videos feature dialogues between hosts and guests, with clear conversational exchanges and sign-offs typical of podcasts. Video 1 includes phrases like 'Thank you for doing this' and 'My pleasure' at the end, while Video 2 and Video 3 also have similar conversational structures and sign-offs. The presence of dialogue markers and the format of the discussions align with podcast content.",False,N/A
UCP7jMXSY2xbc3KCAE0MHQ-A,Google DeepMind,https://www.youtube.com/@googledeepmind,684000,1,Tier 1 (Direct Competitor),0.8262988764798708,True,1.0,"All three videos strictly adhere to podcast format. They feature dialogue markers such as 'Welcome back', 'Guest', and 'Episode'. Each video includes a conversational structure in the middle, with clear exchanges between the host and guests. The endings also follow a typical podcast sign-off, encouraging listeners to subscribe and leave reviews, confirming their nature as podcast content.",False,N/A
UCvxm0qTrGN_1LMYgUaftWyQ,Peter H. Diamandis,https://www.youtube.com/@peterdiamandis,398000,1,Tier 1 (Direct Competitor),0.8227790548433002,True,0.95,"All three videos contain clear dialogue markers such as 'Welcome back', 'Episode', and conversational exchanges between hosts and guests, indicating a podcast format. The content is structured around discussions rather than a narrative or tutorial style, and they conclude with sign-offs typical of podcast episodes.",False,N/A
UCr_ZF6AG_9ZylHul1O5wHhg,Intentional Leader with Cal Walters,https://www.youtube.com/@intentionalleader_calwalters,12800,1,Tier 1 (Direct Competitor),0.8185911300572544,True,1.0,"All three videos contain clear dialogue markers such as 'Welcome back', 'Guest', and 'Episode'. They feature conversations between the host and guests, indicating a podcast format. Each video ends with a sign-off typical of a podcast, reinforcing that they are structured as episodes of a series.",False,N/A
UCPjNBjflYl0-HQtUvOx0Ibw,Greg Isenberg,https://www.youtube.com/@gregisenberg,501000,1,Tier 1 (Saved by Auditor),0.8125065194073358,False,0.7,"While Video 1 contains dialogue markers and a conversational format typical of podcasts, Video 2 is more of a tutorial with structured lessons and lacks the podcast sign-off. Video 3 has no transcript provided, making it impossible to analyze. Overall, the channel does not strictly produce podcast content.",True,"The transcripts include dialogue between the host and a guest, with phrases like 'we got Logan on the pod' and 'by the end of this episode', indicating a conversational format typical of podcasts."
UCwwONWb7JPUMjmmQhnnLfLQ,Dave Lorenzo,https://www.youtube.com/@davelorenzo,19800,1,Tier 1 (Direct Competitor),0.8108623287184875,True,0.95,"All three videos feature dialogue markers such as 'Welcome back', 'Guest', and 'Episode'. They include conversations between hosts and guests, indicating a podcast format. The sign-offs at the end of each video also resemble typical podcast closures, reinforcing the podcast nature of the content.",False,N/A
